,Unclassified,Anaeromyxobacter,Bradyrhizobium,Methanoregula,Candidatus Sulfotelmatobacter,Mycobacterium,Methanoculleus,Candidatus Sulfopaludibacter,Nitrospira,Methanothrix,Syntrophorhabdus,Geobacter,Clostridium,Streptomyces,Methanofollis,Methanolinea,Paenibacillus,Desulfobacca,Syntrophus,Candidatus Nitrosotalea,Pseudomonas,Candidatus Methanoperedens,Methanocella,Methylocystis,Thermodesulfovibrio,Candidatus Sulfobium,Methanobacterium,Syntrophobacter,Pedosphaera,Rhodoplanes,Pseudolabrys,Paraburkholderia,Anaerolinea,Desulfuromonas,Paludibaculum,Bacillus,Mesorhizobium,Dehalococcoides,Reyranella,Candidatus Methanosuratincola,Methanosarcina,Dehalogenimonas,Candidatus Saccharicenans,Aquisphaera,Dissulfurispira,Sphingomonas,Phaffia,Burkholderia,Smithella,Actinomadura,Sorangium,Candidatus Hakubanella,Nostoc,Candidatus Methylomirabilis,Candidatus Brocadia,Microcystis,Granulicella,Gemmatimonas,Geomonas,Candidatus Bilamarchaeum,Variovorax,Leptolyngbya,Azospirillum,Desulfovibrio,Ktedonobacter,Cupriavidus,Rhizobium,Edaphobacter,Desulfobacterium,Desulfosarcina,Massilia,Trebonia,Methanosphaerula,Methylobacterium,Dictyobacter,Candidatus Accumulibacter,Geothrix,Methanocalculus,Hyphomicrobium,Staphylococcus
AM.P1,0.9751877355008032,0.05976751201027853,0.06418669281731813,0.013630091932178266,0.07894179028838819,0.03413530962407992,0.015505496053585576,0.055006776619045045,0.03935825708404012,0.011391768047445537,0.017177351648490075,0.01877323790754855,0.0318154767074933,0.042059510611639365,0.011087932811091761,0.011746000575303074,0.02337541481730897,0.02148758862947798,0.014551078376841742,0.05661002344879956,0.027805937770591264,0.03371250268361928,0.012856478149519936,0.014362095311972366,0.017954996812863767,0.011861727513495936,0.00850877942887627,0.014504063461123167,0.017296227472775504,0.02392414039690095,0.023228859047696507,0.024765807983421886,0.01598269950163278,0.013428153480684468,0.026779901950327676,0.014921865911695382,0.024009634917356356,0.00850877942887627,0.03738239720418345,0.004818965216719652,0.011861727513495936,0.008977498406431883,0.012642188506357229,0.01114936227180678,0.00818139518605814,0.021708953001528968,0.021740392486505312,0.0206776652210082,0.00882402558632287,0.0293591860106458,0.02372345502699187,0.01083873395948404,0.01203323126755802,0.018627140450283963,0.012424203397057623,0.004958674299110302,0.025338345861766306,0.019169265427374953,0.011451567765660049,0.0035063122225963456,0.01976570673629219,0.012803241986480626,0.022903135531320097,0.011804005869183704,0.027928485467807056,0.01855366031987216,0.018882069183951404,0.02343378048823267,0.009985981587371939,0.009917348598220604,0.017609306776463957,0.03342766050095628,0.006401620993240313,0.019592167760653506,0.026003507400504052,0.014876022897330908,0.012258170945020658,0.006184553439957387,0.01753156111298173,0.009917348598220604
AM.P2,0.9821015922450868,0.0758618434550217,0.041860246923747235,0.031073806420335685,0.03150412689880839,0.06549302178925581,0.032936856625495226,0.02170829124171734,0.018812716410187173,0.02231991207068139,0.02627784953771356,0.021215365881172253,0.031135644902236578,0.02126064953116074,0.026892830821223575,0.0271420086339021,0.02283112137020432,0.020524125176227197,0.024300308383951745,0.006794354741703097,0.018965460863755425,0.024964053372947978,0.021840794758427054,0.02373976455964609,0.021305836935020483,0.011436603211135704,0.029190696695575363,0.01681517009075832,0.012635186117803099,0.020050062945064954,0.036772254723240194,0.012936066028390342,0.014937282407491875,0.014742862635073737,0.014075415039290206,0.019267317401850847,0.015505922315512385,0.018399199618772136,0.009608668623290467,0.013010198818838716,0.016985886854257743,0.01845139603461652,0.01845139603461652,0.013083911583335847,0.010378548300745525,0.010652918467510241,0.0,0.011686158481446007,0.016054433904322003,0.012482026686473989,0.01000101938662041,0.016757878032922172,0.009094458072805577,0.012326964434611367,0.01454584447985542,0.005547567416210662,0.010285465269790676,0.011181479596388244,0.011603569754115963,0.0062023689262049545,0.010652918467510241,0.009708242978368658,0.011181479596388244,0.01323010507706667,0.010742818107473401,0.009303553389307431,0.012090642874870659,0.010378548300745525,0.014211412546188087,0.013517749679942138,0.008771474254280497,0.009406358205093586,0.01365930065703406,0.012482026686473989,0.01000101938662041,0.008204962859106518,0.00950805151949489,0.01519263906569615,0.017868851570905397,0.014143577254114836
TI.P1,0.9703763459395394,0.12617143646853815,0.05646231051895582,0.055308214512712596,0.027570685928261136,0.03757689042104818,0.035072056296451035,0.031140935068753095,0.036989956753133275,0.02871654019606462,0.031545141110924255,0.031140935068753095,0.021248028330686324,0.02380445016635926,0.029741044257361442,0.02891637935168057,0.025845777425529112,0.027695723694131532,0.028595966366698172,0.005878089990320822,0.028555661954325493,0.01006739107253259,0.017634269970962468,0.048233778864783784,0.019137674480032424,0.02507678893328329,0.01314380879621844,0.022098283025420305,0.023852784125093285,0.031103928596893926,0.023463324746363992,0.021570801670669836,0.01895627062786408,0.02064317362204323,0.018085677122467194,0.016968584191162858,0.02146374988496025,0.016900573559999715,0.010293652830679215,0.01540313825001021,0.016486619116217776,0.014398321138447325,0.012788504935646958,0.023414186839557684,0.01937690469827849,0.019137674480032424,0.0,0.01955440676862965,0.01955440676862965,0.01135754887969921,0.01463632604148736,0.012423043399529118,0.030049249838944355,0.013404107506970063,0.015024624919472178,0.03875380939655698,0.015551964298446963,0.015699379577913588,0.017699461579506005,0.014237440992489409,0.0187116633395949,0.028026430620160032,0.015477730154791699,0.01776441395036802,0.008585499953984102,0.017634269970962468,0.018401332314705816,0.014156315312220094,0.016061999660985975,0.015845423463027156,0.017829129698211592,0.005033695536266295,0.016346304912486988,0.01865001024500306,0.009598880758964883,0.017036323319548814,0.017893611390417286,0.012423043399529118,0.015477730154791699,0.014398321138447325
TI.P2,0.9831874236948307,0.09888984137651605,0.022108156648810655,0.03871069084015069,0.012911717524853462,0.017080596784738347,0.034574615556538575,0.01789311826692031,0.018051234314368475,0.02756226262031047,0.02611523453826131,0.028375083302377403,0.03195487056506174,0.01922029220083247,0.027937741084976157,0.02790381546094403,0.022490458583209475,0.0258600900504847,0.024077056583813084,0.007151951525571866,0.022783369918699024,0.020507804439030306,0.021979245015471167,0.012310839622854473,0.023760239403637595,0.023839838418572883,0.01713596353216123,0.018414892827313786,0.014170840595780755,0.009129963018589067,0.006600952356527621,0.013273460276255613,0.016459274903306433,0.01762643988587229,0.011181875383011833,0.01730100069746823,0.011919919209286442,0.01640162402598802,0.006455858762426731,0.02202229940544038,0.017191151963388177,0.01456638188115021,0.018259926037178135,0.011999122201588809,0.018872159778789564,0.01184018641336235,0.0,0.011919919209286442,0.014501207586085911,0.00790677990971059,0.01109684087605389,0.016285710036236564,0.009436079889394782,0.01184018641336235,0.014695863377596848,0.007151951525571866,0.009335156347180002,0.012387543415560212,0.01456638188115021,0.025379446052534036,0.01151573600306069,0.010207608970812167,0.009634755989880166,0.013763937128400237,0.009535935367429154,0.011679087935180524,0.011181875383011833,0.008920050751835043,0.014695863377596848,0.013832585619735022,0.012077805813201626,0.004129181138520071,0.014501207586085911,0.008372276103401344,0.009233129717140855,0.011999122201588809,0.011597699571248331,0.015264944719444683,0.008813219942936145,0.01151573600306069
TI.P3,0.9803635347026272,0.10719122836276258,0.028029239236292657,0.041243752356968734,0.014445939247117689,0.024201681253546367,0.03636285518084701,0.019144562514970886,0.02231677698178673,0.031532894140829236,0.02796660398653347,0.03016865734299472,0.021960319295014467,0.021188113273589815,0.029163736973191245,0.02898278132554341,0.02427403322738098,0.020770160711120717,0.02459698356384004,0.007253254744324858,0.020980177788334584,0.01643359818122104,0.027997939126879656,0.016055763809042164,0.02278338027179537,0.02346589523629723,0.016486867682937847,0.019144562514970886,0.01761809455865813,0.012209047018251177,0.006881041632446642,0.015040669162643846,0.01955242146654602,0.019144562514970886,0.013888925423357772,0.017164333501828666,0.013042419669995918,0.015835811448747173,0.008269982811462934,0.01955242146654602,0.016539965622925867,0.015891084955192362,0.016958765205949453,0.018157298279738058,0.01919030824928295,0.014506509488649715,0.02964088499433488,0.013504825379781097,0.014686721485167864,0.009640737061141066,0.013109476254266051,0.01741788243806758,0.011468402720744402,0.01297501653314659,0.015040669162643846,0.008479382602974726,0.009909832567741292,0.013439741505159636,0.015946166870631013,0.026185488611667966,0.013569597096128119,0.011468402720744402,0.011391690135897685,0.013888925423357772,0.010085241452062714,0.012839148741629614,0.011468402720744402,0.0109201036293203,0.014864748851611938,0.013825649807612111,0.012351847745159671,0.0037455646440760146,0.01632653777002624,0.011544605570483847,0.011079529633555409,0.014445939247117689,0.012280654946163785,0.016001059173657198,0.010839511357170366,0.01638015544398045
TI.P4,0.9694334578690458,0.16290079171271063,0.04656681202628533,0.02665046111059037,0.02835037576191436,0.03827247155344871,0.02365037160652237,0.02538966991031397,0.049337567089020096,0.023788679052268502,0.03095046676683327,0.035074493738074926,0.024999036309005726,0.02646517176440069,0.01765377470822709,0.017792600762473357,0.02440136335771861,0.02053181493917639,0.02506456469483573,0.014204087376564893,0.027047567222656374,0.012998085573456447,0.01391239126802225,0.02280291721633807,0.02627857598180262,0.03168374363236645,0.013123673858242438,0.019296285141376213,0.02143086966893106,0.020966608046868077,0.013614446863093387,0.020966608046868077,0.020770103167400127,0.022256878293137206,0.017700171042398096,0.015368873130733865,0.018157615199778987,0.012082471594692916,0.012548632363956197,0.0071308553428463236,0.01287127195005518,0.01293483417340891,0.015475233383416635,0.023301011615668166,0.024130979794963463,0.019168352558667306,0.023788679052268502,0.01756061429694927,0.01620021472109392,0.012082471594692916,0.017746446078340805,0.014770207615811867,0.0185596775584877,0.019423375110964248,0.01802160118578024,0.019465554042526895,0.013309834558755604,0.015368873130733865,0.020491830840978484,0.008300140132251164,0.017182922528945467,0.017087195196202398,0.017039129854303378,0.017182922528945467,0.01194594210909888,0.018647847544358876,0.015790016122824914,0.01460267621260767,0.01471457575103262,0.01563341705178819,0.017746446078340805,0.006274316181978099,0.009323923772179438,0.015368873130733865,0.010638620691159529,0.01756061429694927,0.0198411298951023,0.0090561953416147,0.015841871816183226,0.012807394275611554
TIA.P1,0.9825734476131526,0.08829390008569662,0.02493717151803397,0.05857908759686862,0.01731085313430454,0.016026735775949815,0.037254866152587225,0.021543996087202377,0.02368603272054135,0.03737562778583335,0.030504764544170386,0.02651367621363668,0.023733547377563422,0.02101457866721266,0.02975698503218078,0.02971910215872846,0.023969707894455215,0.022714877159005543,0.0260420938181274,0.006368379034013242,0.020635906594308476,0.012008330666978663,0.0223650121564301,0.010180557641241504,0.015454166394735505,0.015885528302927963,0.019685972532050754,0.018627433076293613,0.018322544517324454,0.011030356048767342,0.007353570699178229,0.01559927912197088,0.016982344090701977,0.0185668558977363,0.013675137367238832,0.016647353705395326,0.013675137367238832,0.02216260969333931,0.006878635531436158,0.025517702667329657,0.019628662446742634,0.021121523778587892,0.017949843650638946,0.010824162988129563,0.012999399268309068,0.010824162988129563,0.0,0.014081015852391928,0.017245651949200677,0.010180557641241504,0.010613965056688737,0.013085774964495091,0.011819211278190937,0.013085774964495091,0.013341547199439916,0.0065428874822475456,0.01133261354745916,0.01463034117943796,0.013838917305260417,0.010824162988129563,0.010719579250563042,0.010180557641241504,0.010927745855302736,0.014081015852391928,0.009956781795221607,0.010824162988129563,0.011132020465623952,0.01050728933360633,0.012999399268309068,0.015671331602950936,0.011914146227195973,0.0033564304584574596,0.01657954342881755,0.009956781795221607,0.008357444443085333,0.012912445788944172,0.012468585759016985,0.015454166394735505,0.00875249980706852,0.015159774359079474
TIA.P2,0.9833706152385979,0.09033915367209784,0.024463062396020613,0.04466323699985622,0.01566890007157373,0.01580818192244746,0.02889961035661377,0.02391937090205779,0.01947388276076508,0.03939545569024359,0.028785607504510837,0.026567912689507037,0.02170944542877327,0.021250204298873056,0.02512613815518282,0.02503874262723874,0.026193990658092314,0.026319221606205884,0.025169722122293077,0.006104554286921169,0.021557452109758644,0.01156363612048824,0.022356145271186383,0.01573869507211697,0.01573869507211697,0.01238735316393708,0.019974006805372455,0.019417518293023642,0.021404379507572513,0.012119003220057116,0.00837537938506094,0.014656913923856643,0.018844603616387113,0.016816064120207523,0.015598792784470452,0.01776686267455982,0.013407148684544783,0.02175987394138579,0.005539792747172081,0.021301720021255532,0.017705064704105183,0.021810185855813246,0.017518362846345087,0.014045938231759985,0.012822128684765283,0.01348865185886294,0.0,0.014045938231759985,0.01615113250808665,0.010573398182509863,0.012822128684765283,0.013730258858810851,0.012475520491274813,0.01256306907759141,0.014430829720116426,0.00993197817180487,0.011178072635593192,0.014278118229331345,0.014123755659545111,0.012650011769498447,0.01202822289150143,0.01365019835789349,0.011468460542154058,0.013888995448562338,0.009005967213147207,0.012907326490361838,0.01299196560374573,0.010364003226826561,0.014805718895466518,0.014506582627590527,0.012822128684765283,0.0033106593906016236,0.012736360975120207,0.011936752188410516,0.010469224231326174,0.013569665511342657,0.01420114668083702,0.013076056873883192,0.009708759146511821,0.012650011769498447
VI.P1,0.98878227467198,0.016795389448775115,0.022311370356417445,0.03365247000351211,0.02519308417316267,0.013355798250445569,0.03545332211701167,0.025275280424739827,0.019106316091794452,0.01974692829172742,0.026003357361845184,0.02036740138843652,0.01921456804075336,0.018667031714411805,0.029090467858184737,0.029515168686069546,0.02106820381688776,0.03115613313624438,0.019106316091794452,0.012049517158840435,0.019535725125325424,0.04845558463725417,0.0253572102357971,0.00705547480458419,0.016037307890570826,0.009977948157624624,0.016671436541067768,0.01921456804075336,0.011700181322305922,0.006755102836000755,0.005388707892643469,0.015644497856992238,0.014545233929092368,0.013813843711514022,0.015377050835939932,0.014966922236436935,0.014687142010792865,0.015907449009309706,0.007888260638293646,0.012555309432296786,0.018102942331592726,0.014257180971905564,0.011700181322305922,0.009108578805913531,0.00887794443947248,0.012220440833061912,0.0,0.011155685178208722,0.012049517158840435,0.0073435710053964326,0.0076207837854433335,0.01411094960916838,0.01018370069421826,0.014966922236436935,0.014401927636911767,0.003527737402292095,0.013963186902684945,0.011155685178208722,0.010583212206876285,0.004554289402956766,0.009333515857205902,0.010777415785286938,0.009553158045897226,0.012719438090336283,0.00864115658214706,0.009108578805913531,0.01038537771208146,0.014257180971905564,0.012389006600512559,0.012555309432296786,0.0076207837854433335,0.004988974078812312,0.016671436541067768,0.0076207837854433335,0.009333515857205902,0.006755102836000755,0.006755102836000755,0.016037307890570826,0.006110220416530956,0.018997447307635484
VI.P2,0.9877093209896334,0.026700349052204603,0.01927981118769066,0.0368302618721707,0.021779526436857072,0.042820438168756345,0.04042109037814905,0.02464747499341364,0.016061712634112674,0.02801841702405539,0.025640385487593568,0.021458750055035006,0.022469120391555086,0.019423157482467115,0.03293356584007515,0.03229567007006809,0.023612849873522315,0.02649174937972444,0.020735581847829216,0.006867123183953364,0.01461489635594735,0.025640385487593568,0.026648352217945953,0.006005125020526791,0.015445415750176722,0.010533686112388621,0.027265770461624657,0.016233500543522066,0.01526476139807271,0.005266843056194311,0.006662088054486488,0.010401181641355499,0.016985058495549998,0.014709492141910996,0.015975125951395705,0.018916693726539813,0.011539074994868292,0.01949443536413857,0.004079679088745748,0.012351841837645197,0.01730861249230244,0.018168700167186656,0.015445415750176722,0.010401181641355499,0.006231812745101951,0.0112961198905411,0.0,0.012351841837645197,0.012684237758563852,0.010533686112388621,0.009567695546437572,0.018168700167186656,0.010921558215195467,0.012574415451142,0.015173627679702454,0.006005125020526791,0.011418243654754285,0.012901078042996771,0.008969110533262954,0.006005125020526791,0.009273234112951365,0.010401181641355499,0.008159358177491496,0.013008142767103673,0.009273234112951365,0.008492529247774999,0.011418243654754285,0.011172661321440833,0.014989698122594599,0.013427867759282725,0.00865430624615122,0.0037242204404802776,0.017066522073202653,0.00832761006810811,0.009993132081729732,0.008492529247774999,0.009993132081729732,0.018092200037233455,0.00865430624615122,0.005266843056194311
