,RDA1,RDA2,Lake
AM.P1,-0.0027845343050385963,0.028851488522293835,AM
AM.P2,-0.007476152789390432,0.05685250774443474,AM
TI.P1,-0.06621198690936687,-0.011269187719711096,TI
TI.P2,-0.01464119333599578,-0.024233360649880298,TI
TI.P3,-0.02521520998540133,-0.02407033872420572,TI
TI.P4,-0.055370295376788344,0.020479983914780238,TI
TIA.P1,-0.011658466816437459,-0.03717084732681676,TIA
TIA.P2,0.04304255396675934,-0.016991569647041998,TIA
VI.P1,0.07926473690953346,-0.012712481084568563,VI
VI.P2,0.06105054864212647,0.020263804970715782,VI
